time1,Diode,time2,PCD3_B
-3.88e-06,-0.012,-3.88e-06,4.99440008
-3.88e-06,0.012,-3.88e-06,4.99520008
-3.88e-06,0.004,-3.88e-06,5.00720008
-3.88e-06,0.004,-3.88e-06,4.999200078
-3.88e-06,0.008,-3.88e-06,4.99600008
-3.88e-06,0.008,-3.88e-06,5.00240008
-3.88e-06,0.004,-3.88e-06,5.000800078
-3.87e-06,-0.004,-3.87e-06,5.000800078
-3.87e-06,0.008,-3.87e-06,4.99760008
-3.87e-06,0.0,-3.87e-06,5.000800078
-3.87e-06,0.0,-3.87e-06,4.99280008
-3.87e-06,0.0,-3.87e-06,4.99840008
-3.87e-06,0.008,-3.87e-06,4.99520008
-3.87e-06,0.008,-3.87e-06,5.0104001
-3.87e-06,0.02,-3.87e-06,4.99840008
-3.87e-06,0.004,-3.87e-06,4.99200008
-3.87e-06,0.008,-3.87e-06,4.99600008
-3.87e-06,-0.012,-3.87e-06,5.00640008
-3.87e-06,-0.008,-3.87e-06,5.00320008
-3.87e-06,0.0,-3.87e-06,5.00320008
-3.86e-06,0.012,-3.86e-06,4.99840008
-3.86e-06,0.016,-3.86e-06,5.000800078
-3.86e-06,-0.004,-3.86e-06,5.00160008
-3.86e-06,0.0,-3.86e-06,4.99760008
-3.86e-06,0.004,-3.86e-06,5.00160008
-3.86e-06,-0.004,-3.86e-06,5.00320008
-3.86e-06,0.016,-3.86e-06,5.00240008
-3.86e-06,-0.008,-3.86e-06,5.00160008
-3.86e-06,0.004,-3.86e-06,5.00320008
-3.86e-06,0.008,-3.86e-06,5.000000078
-3.86e-06,0.008,-3.86e-06,4.999200078
-3.86e-06,0.004,-3.86e-06,4.99600008
-3.85e-06,0.012,-3.85e-06,4.99760008
-3.85e-06,0.012,-3.85e-06,4.99520008
-3.85e-06,0.008,-3.85e-06,5.00240008
-3.85e-06,0.008,-3.85e-06,4.999200078
-3.85e-06,0.004,-3.85e-06,5.000000078
-3.85e-06,0.012,-3.85e-06,4.99360008
-3.85e-06,0.004,-3.85e-06,5.00240008
-3.85e-06,-0.004,-3.85e-06,5.00400008
-3.85e-06,0.004,-3.85e-06,5.00160008
-3.85e-06,0.004,-3.85e-06,5.000800078
-3.85e-06,0.0,-3.85e-06,5.00480008
-3.85e-06,0.004,-3.85e-06,5.000800078
-3.85e-06,0.0,-3.85e-06,5.000000078
-3.84e-06,0.004,-3.84e-06,4.99840008
-3.84e-06,0.004,-3.84e-06,5.00160008
-3.84e-06,0.004,-3.84e-06,4.99600008
-3.84e-06,0.008,-3.84e-06,4.999200078
-3.84e-06,-0.004,-3.84e-06,4.99600008
-3.84e-06,0.008,-3.84e-06,4.99600008
-3.84e-06,-0.004,-3.84e-06,4.99520008
-3.84e-06,0.004,-3.84e-06,5.00320008
-3.84e-06,0.004,-3.84e-06,5.000000078
-3.84e-06,0.008,-3.84e-06,5.00320008
-3.84e-06,0.0,-3.84e-06,5.00320008
-3.84e-06,-0.008,-3.84e-06,4.99840008
-3.83e-06,-0.008,-3.83e-06,4.99760008
-3.83e-06,0.004,-3.83e-06,4.999200078
-3.83e-06,0.004,-3.83e-06,4.99520008
-3.83e-06,0.012,-3.83e-06,5.000000078
-3.83e-06,-0.004,-3.83e-06,4.99760008
-3.83e-06,0.008,-3.83e-06,4.999200078
-3.83e-06,0.012,-3.83e-06,4.999200078
-3.83e-06,-0.004,-3.83e-06,4.99200008
-3.83e-06,0.012,-3.83e-06,4.999200078
-3.83e-06,0.016,-3.83e-06,5.00800008
-3.83e-06,0.004,-3.83e-06,5.000800078
-3.83e-06,0.012,-3.83e-06,5.00400008
-3.83e-06,0.016,-3.83e-06,4.99760008
-3.82e-06,0.008,-3.82e-06,4.99760008
-3.82e-06,-0.004,-3.82e-06,5.00160008
-3.82e-06,0.0,-3.82e-06,4.99280008
-3.82e-06,-0.012,-3.82e-06,4.99680008
-3.82e-06,-0.004,-3.82e-06,4.99840008
-3.82e-06,-0.004,-3.82e-06,4.999200078
-3.82e-06,-0.004,-3.82e-06,5.00400008
-3.82e-06,0.0,-3.82e-06,5.00720008
-3.82e-06,-0.008,-3.82e-06,4.99600008
-3.82e-06,-0.012,-3.82e-06,5.00720008
-3.82e-06,-0.004,-3.82e-06,5.00160008
-3.82e-06,-0.008,-3.82e-06,4.99200008
-3.81e-06,0.0,-3.81e-06,4.99760008
-3.81e-06,-0.008,-3.81e-06,4.99840008
-3.81e-06,0.008,-3.81e-06,4.99520008
-3.81e-06,0.004,-3.81e-06,4.99600008
-3.81e-06,0.004,-3.81e-06,4.99600008
-3.81e-06,0.0,-3.81e-06,4.99600008
-3.81e-06,-0.004,-3.81e-06,4.99760008
-3.81e-06,0.02,-3.81e-06,4.99360008
-3.81e-06,0.012,-3.81e-06,4.99600008
-3.81e-06,-0.008,-3.81e-06,5.000800078
-3.81e-06,0.0,-3.81e-06,5.00160008
-3.81e-06,-0.004,-3.81e-06,4.99760008
-3.81e-06,0.012,-3.81e-06,4.99760008
-3.8e-06,0.016,-3.8e-06,5.00160008
-3.8e-06,-0.004,-3.8e-06,4.99840008
-3.8e-06,-0.016,-3.8e-06,5.000800078
-3.8e-06,0.0,-3.8e-06,4.99360008
-3.8e-06,0.004,-3.8e-06,5.000800078
-3.8e-06,0.004,-3.8e-06,5.00240008
-3.8e-06,0.004,-3.8e-06,5.000000078
-3.8e-06,0.004,-3.8e-06,4.999200078
-3.8e-06,0.008,-3.8e-06,5.00240008
-3.8e-06,0.0,-3.8e-06,4.99520008
-3.8e-06,-0.004,-3.8e-06,5.00160008
-3.8e-06,0.016,-3.8e-06,4.99840008
-3.79e-06,0.004,-3.79e-06,5.00320008
-3.79e-06,-0.008,-3.79e-06,4.999200078
-3.79e-06,0.004,-3.79e-06,4.99840008
-3.79e-06,-0.004,-3.79e-06,5.000000078
-3.79e-06,-0.004,-3.79e-06,5.000800078
-3.79e-06,0.004,-3.79e-06,5.00880008
-3.79e-06,-0.02,-3.79e-06,5.000000078
-3.79e-06,0.004,-3.79e-06,4.99680008
-3.79e-06,0.004,-3.79e-06,4.99760008
-3.79e-06,0.0,-3.79e-06,5.000800078
-3.79e-06,-0.012,-3.79e-06,4.99280008
-3.79e-06,0.0,-3.79e-06,5.000800078
-3.79e-06,0.0,-3.79e-06,4.99680008
-3.78e-06,-0.008,-3.78e-06,4.99840008
-3.78e-06,-0.004,-3.78e-06,4.99520008
-3.78e-06,0.008,-3.78e-06,4.99680008
-3.78e-06,-0.02,-3.78e-06,5.000000078
-3.78e-06,-0.02,-3.78e-06,4.99840008
-3.78e-06,-0.012,-3.78e-06,4.99520008
-3.78e-06,0.008,-3.78e-06,5.00640008
-3.78e-06,-0.004,-3.78e-06,4.99360008
-3.78e-06,0.004,-3.78e-06,4.99600008
-3.78e-06,-0.008,-3.78e-06,4.99520008
-3.78e-06,0.012,-3.78e-06,5.00160008
-3.78e-06,-0.004,-3.78e-06,4.99280008
-3.77e-06,0.016,-3.77e-06,5.000800078
-3.77e-06,0.02,-3.77e-06,4.99280008
-3.77e-06,0.008,-3.77e-06,5.000800078
-3.77e-06,0.004,-3.77e-06,5.000000078
-3.77e-06,0.008,-3.77e-06,4.99760008
-3.77e-06,-0.012,-3.77e-06,4.99200008
-3.77e-06,-0.008,-3.77e-06,5.00160008
-3.77e-06,-0.004,-3.77e-06,5.000800078
-3.77e-06,-0.008,-3.77e-06,4.99440008
-3.77e-06,-0.012,-3.77e-06,4.999200078
-3.77e-06,0.008,-3.77e-06,4.99840008
-3.77e-06,-0.008,-3.77e-06,5.00160008
-3.77e-06,-0.004,-3.77e-06,4.99600008
-3.76e-06,0.004,-3.76e-06,4.99520008
-3.76e-06,-0.004,-3.76e-06,4.99760008
-3.76e-06,-0.012,-3.76e-06,5.000000078
-3.76e-06,-0.016,-3.76e-06,4.99520008
-3.76e-06,0.0,-3.76e-06,4.99280008
-3.76e-06,0.0,-3.76e-06,4.99520008
-3.76e-06,0.004,-3.76e-06,4.999200078
-3.76e-06,0.0,-3.76e-06,5.000800078
-3.76e-06,-0.012,-3.76e-06,5.000800078
-3.76e-06,0.0,-3.76e-06,4.99360008
-3.76e-06,0.004,-3.76e-06,5.00560008
-3.76e-06,-0.004,-3.76e-06,5.00320008
-3.75e-06,0.008,-3.75e-06,5.00400008
-3.75e-06,-0.004,-3.75e-06,4.99360008
-3.75e-06,-0.016,-3.75e-06,4.99760008
-3.75e-06,-0.008,-3.75e-06,4.99440008
-3.75e-06,0.004,-3.75e-06,5.000800078
-3.75e-06,0.004,-3.75e-06,5.000000078
-3.75e-06,0.004,-3.75e-06,4.99760008
-3.75e-06,-0.008,-3.75e-06,4.999200078
-3.75e-06,-0.008,-3.75e-06,4.99840008
-3.75e-06,0.004,-3.75e-06,4.99840008
-3.75e-06,0.008,-3.75e-06,4.99680008
-3.75e-06,0.004,-3.75e-06,5.000000078
-3.75e-06,0.012,-3.75e-06,5.00160008
-3.74e-06,-0.008,-3.74e-06,4.99760008
-3.74e-06,0.004,-3.74e-06,5.000800078
-3.74e-06,0.004,-3.74e-06,5.00560008
-3.74e-06,0.004,-3.74e-06,5.00160008
-3.74e-06,0.004,-3.74e-06,5.00320008
-3.74e-06,0.008,-3.74e-06,4.99760008
-3.74e-06,-0.008,-3.74e-06,5.00400008
-3.74e-06,-0.012,-3.74e-06,5.000000078
-3.74e-06,0.0,-3.74e-06,4.99760008
-3.74e-06,-0.008,-3.74e-06,4.99840008
-3.74e-06,0.004,-3.74e-06,5.000000078
-3.74e-06,-0.008,-3.74e-06,5.000000078
-3.73e-06,-0.004,-3.73e-06,5.00400008
-3.73e-06,0.016,-3.73e-06,5.00400008
-3.73e-06,0.004,-3.73e-06,5.000800078
-3.73e-06,0.012,-3.73e-06,4.99680008
-3.73e-06,0.004,-3.73e-06,4.99360008
-3.73e-06,0.004,-3.73e-06,5.000800078
-3.73e-06,0.028,-3.73e-06,5.00560008
-3.73e-06,0.0,-3.73e-06,4.999200078
-3.73e-06,0.004,-3.73e-06,5.000800078
-3.73e-06,-0.004,-3.73e-06,4.99840008
-3.73e-06,-0.008,-3.73e-06,5.00640008
-3.73e-06,0.0,-3.73e-06,5.00320008
-3.73e-06,0.0,-3.73e-06,4.99840008
-3.72e-06,-0.016,-3.72e-06,4.999200078
-3.72e-06,0.004,-3.72e-06,4.999200078
-3.72e-06,0.004,-3.72e-06,5.000800078
-3.72e-06,0.0,-3.72e-06,4.99760008
-3.72e-06,0.016,-3.72e-06,5.000000078
-3.72e-06,-0.004,-3.72e-06,5.00320008
-3.72e-06,-0.012,-3.72e-06,4.99680008
-3.72e-06,0.004,-3.72e-06,4.99760008
-3.72e-06,0.004,-3.72e-06,4.99600008
-3.72e-06,-0.004,-3.72e-06,4.99680008
-3.72e-06,0.008,-3.72e-06,5.000000078
-3.72e-06,0.008,-3.72e-06,4.999200078
-3.71e-06,-0.012,-3.71e-06,4.99840008
-3.71e-06,-0.008,-3.71e-06,4.99760008
-3.71e-06,0.004,-3.71e-06,4.99360008
-3.71e-06,0.0,-3.71e-06,4.999200078
-3.71e-06,-0.012,-3.71e-06,4.99680008
-3.71e-06,-0.008,-3.71e-06,5.000800078
-3.71e-06,-0.016,-3.71e-06,5.000800078
-3.71e-06,0.012,-3.71e-06,5.00160008
-3.71e-06,-0.004,-3.71e-06,5.00240008
-3.71e-06,0.012,-3.71e-06,4.999200078
-3.71e-06,0.0,-3.71e-06,4.999200078
-3.71e-06,0.004,-3.71e-06,4.99520008
-3.71e-06,0.004,-3.71e-06,5.00880008
-3.7e-06,0.004,-3.7e-06,5.00400008
-3.7e-06,0.008,-3.7e-06,4.99600008
-3.7e-06,-0.004,-3.7e-06,5.00160008
-3.7e-06,0.012,-3.7e-06,4.99600008
-3.7e-06,-0.008,-3.7e-06,4.99600008
-3.7e-06,0.0,-3.7e-06,4.99200008
-3.7e-06,-0.012,-3.7e-06,4.99440008
-3.7e-06,0.0,-3.7e-06,4.99360008
-3.7e-06,0.004,-3.7e-06,5.000800078
-3.7e-06,0.004,-3.7e-06,4.99840008
-3.7e-06,0.004,-3.7e-06,4.99680008
-3.7e-06,0.012,-3.7e-06,4.99520008
-3.69e-06,0.008,-3.69e-06,4.999200078
-3.69e-06,0.008,-3.69e-06,4.99520008
-3.69e-06,0.012,-3.69e-06,5.00160008
-3.69e-06,0.008,-3.69e-06,4.99200008
-3.69e-06,0.004,-3.69e-06,5.00160008
-3.69e-06,-0.004,-3.69e-06,5.00160008
-3.69e-06,0.012,-3.69e-06,4.99360008
-3.69e-06,0.0,-3.69e-06,5.00240008
-3.69e-06,0.004,-3.69e-06,4.99600008
-3.69e-06,-0.004,-3.69e-06,5.00560008
-3.69e-06,0.0,-3.69e-06,5.00240008
